DADBADDB,65
CCADDDBD,69
DDDDAACC,259
DBACACAC,62
BAABCBAA,88
BBDCBBBB,97
AABBDCDD,112
BACBCBCD,97
BBBBBACD,91
CCDAAABC,77
DADDCABA,53
DADADAAC,85
AAADADBC,80
BCCAABAD,77
BDBCDADB,70
DCABBBBB,82
ABDCBCCB,101
BACBBCBC,81
AABBADCA,86
DBCCDAAC,147
ADCCCAAA,77
ABABACDA,100
CBDDDADB,80
ADCDACCB,81
AADDCDCA,68
DABDADCD,83
DCABDACD,83
ACCDABCC,102
BADDABCA,46
DADDDADA,77
ADBDBCDD,60
ACCCCABD,64
CBBCDCDA,84
ACDBDDBA,56
CCACABDB,43
BBAABDBB,83
DAABACDD,119
ADCCADDD,66
DADABBCB,62
BAADDBDA,47
AABDDDBA,93
ACCCDCDD,69
CBBCADBB,141
CCDBCBAD,60
ACCDDBDD,124
DAACCBAA,92
CAACBBAA,67
DDBADCDD,49
CBDABDCD,60
CBBADDBC,150
ADAACBAC,90
DDABCBAC,66
AABCABAA,82
DCCBBCBB,38
CCCCCAAB,48
ABCDAADC,82
DBDDBBDD,60
DBCBDACB,86
CDDDABDC,61
BCCDBACA,88
DCDDBBCC,82
DDCDAACB,75
ADACABDC,60
ACCCACCD,80
BADCCBCC,69
CDBDCDCB,67
BBACDCAB,111
BACADBDC,99
BABDCDCB,76
CDBDBDCC,58
CAAACCAC,56
AAACBBDA,76
BDAACBDD,131
CCACBACC,82
DBDCDDDA,75
CABDACCC,99
CBCBCDBD,49
DACABDDC,97
BACBBDCD,149
ABBBCBCA,42
BBAAABDC,62
CBCBBBBC,81
CBCBCDAB,42
AACDBDCA,124
CDCBCCCB,169
ABCCBCAB,80
AABAAACA,66
ABBCCDCA,79
ACADACBB,154
BDCBDDDB,80
BACACADA,79
ADACADDC,70
DDDCCACA,34
DDACDBCD,86
DDDCABAD,56
ADCCCCAA,75
DBAADABC,57
ACCBDBCA,54
CBACACAD,75
BBDBBCAC,54
CAABBACD,79
DCDABDBA,61
ACCADCDB,79
CCCDBDDC,52
BCDCCBCC,78
ABDBDBAB,61
DBAABAAD,69
BBBBCCDA,109
BDBACCAC,67
BDCBCCAA,120
CDBBAACA,103
BCABABCC,142
DCAAACBB,62
DBCDDCAA,58
CCBDABCA,59
BABCACAA,84
DBCBCDBA,63
BCBBCDDC,48
CBDBDCBB,82
ACCBAACC,70
DDDDBDAD,87
ABABCBBB,65
ABBDDBAA,59
DACACAAB,63
ACDBADCC,47
DBBBBBAC,101
BDDDACBD,94
BACACADD,87
AABAADBC,71
AACDDBCC,94
BBABBCDD,55
AAAAADDD,93
CACDCAAD,89
CCCDDCCD,61
BCDAACCC,89
DCBBCBCC,73
CABABCBA,60
DDACBDDD,102
DDAAABAC,115
CBDCBCCA,104
BBBABDCA,98
DAADDBDA,67
DCDBACCD,101
ACDDACDA,85
ABCDCDCD,68
DACCDBAA,61
AADBAADC,43
ADBCDABA,54
BBABDDCC,89
DADBDABD,46
CACCDDDB,98
ACDBACDD,79
CCABCDDD,94
DAABDCAA,81
DCDDBBCD,80
BBAACDDC,85
ADBABDDA,50
CCBBDDBB,73
BDACACCD,91
AABDBABC,69
DDDCABCC,80
DCABDDAC,52
ABDCDCDB,169
ADBBDBBD,33
AABDCBDB,78
CDBAAAAC,41
ACDCBBBA,114
CDBBBABD,116
CACCBAAC,72
CDABBDBB,88
DCAABACB,109
ABCABAAC,97
ADADCAAB,98
CDAAAACA,56
ADDBDBCC,51
DCAABBBA,73
ACACABDB,44
AAACDDDA,77
DBAACBAB,64
DCBBABCA,113
CDDBACDA,64
CBDDCDDB,53
BCDCACAB,80
ACCCACBC,62
BDBCCCBB,51
CCCCCBBC,30
DCCBCABC,81
BADACDAD,71
BCBCDDCB,104
ACBAABBD,107
CCDABDAC,99
ADCAACBA,261
CCAADBDB,69
DDDCADAA,89
BBDADCAA,115
ADDACBCA,91
CBADDCAD,67
BDDDBABA,70
DDBCCDCD,153
AADADCBC,93
CABAADAC,79
CDDCDADB,74
